Name,Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,state_id,county_id,regionid
"Census Tract 105, Talladega County, Alabama",500,1233,2977,21,730,2977,2323,1425,559,29,559,246900,83100,29,674,1233,01,121,010500
"Census Tract 113, Talladega County, Alabama",577,2604,5900,0,1829,5900,4858,2610,1066,0,1066,598600,102900,0,1538,2604,01,121,011300
"Census Tract 109, Talladega County, Alabama",584,1228,3244,62,763,2696,2706,1470,329,52,329,189100,80700,68,899,1228,01,121,010900
"Census Tract 118, Talladega County, Alabama",348,985,2201,0,445,2201,1625,1214,710,27,710,316600,60700,30,275,985,01,121,011800
"Census Tract 104, Talladega County, Alabama",526,1117,2711,0,683,2676,2212,1380,202,26,202,74800,75500,35,915,1117,01,121,010400
"Census Tract 112, Talladega County, Alabama",856,829,2822,12,553,2360,2487,1070,107,0,107,85400,108000,13,722,829,01,121,011200
"Census Tract 114, Talladega County, Alabama",579,1079,2931,0,827,2931,2069,1282,245,23,245,106100,70300,28,834,1079,01,121,011400
"Census Tract 106, Talladega County, Alabama",384,1240,2708,15,622,2693,1963,1444,863,36,863,387100,80400,45,377,1240,01,121,010600
"Census Tract 120, Talladega County, Alabama",693,819,2168,0,580,2168,1637,1041,288,18,288,190300,120100,12,531,819,01,121,012000
"Census Tract 102.04, Tuscaloosa County, Alabama",857,2147,4730,0,1657,4657,3768,2594,1246,170,1246,1003100,190600,0,901,2147,01,125,010204
"Census Tract 119, Talladega County, Alabama",756,1107,3061,17,689,2886,2222,1272,382,49,382,261000,101600,38,725,1107,01,121,011900
"Census Tract 110, Talladega County, Alabama",732,1264,2958,0,631,2895,2667,1377,407,0,407,287000,93300,43,857,1264,01,121,011000
"Census Tract 101.01, Tuscaloosa County, Alabama",-666666666,1434,4579,0,1171,4579,3339,1582,58,0,58,,407700,88,1376,1434,01,125,010101
"Census Tract 103.01, Tuscaloosa County, Alabama",820,2641,6473,0,1925,6473,5384,2859,559,0,559,401500,156600,7,2082,2641,01,125,010301
"Census Tract 103.02, Tuscaloosa County, Alabama",695,1203,3342,0,813,3342,2745,1284,308,0,308,182900,142300,0,895,1203,01,125,010302
"Census Tract 107.01, Tuscaloosa County, Alabama",728,2150,6699,0,1551,6699,5374,2419,217,9,217,194300,161000,66,1933,2150,01,125,010701
"Census Tract 108.02, Tuscaloosa County, Alabama",1166,1812,4821,0,1466,4815,3966,1943,206,0,206,152100,184700,28,1606,1812,01,125,010802
"Census Tract 124.05, Tuscaloosa County, Alabama",781,2593,7410,0,2024,7410,5698,3537,1771,287,1771,1437400,133900,0,822,2593,01,125,012405
"Census Tract 125.03, Tuscaloosa County, Alabama",1445,1478,4550,0,1221,4514,3464,1520,145,0,145,102700,223800,0,1333,1478,01,125,012503
"Census Tract 101.02, Tuscaloosa County, Alabama",1023,1036,2991,0,773,2991,2460,1472,95,0,95,52900,195900,29,941,1036,01,125,010102
"Census Tract 102.01, Tuscaloosa County, Alabama",1347,1208,3650,0,1035,3650,2708,1380,131,47,131,148700,173400,9,1077,1208,01,125,010201
"Census Tract 104.07, Tuscaloosa County, Alabama",870,1630,3180,0,1159,3180,2640,2116,840,72,840,742700,229200,0,790,1630,01,125,010407
"Census Tract 106.01, Tuscaloosa County, Alabama",642,1584,4870,0,1179,4870,3921,1731,276,0,276,165000,106000,10,1308,1584,01,125,010601
"Census Tract 108.04, Tuscaloosa County, Alabama",764,1000,2896,0,761,2896,2244,1187,264,60,264,206300,113100,10,736,1000,01,125,010804
"Census Tract 104.06, Tuscaloosa County, Alabama",1031,2013,4965,0,1416,4965,3801,2116,304,0,304,303600,313400,0,1709,2013,01,125,010406
"Census Tract 123.05, Tuscaloosa County, Alabama",840,1980,5168,11,1684,5168,3951,2181,994,98,994,851000,160000,0,986,1980,01,125,012305
"Census Tract 124.04, Tuscaloosa County, Alabama",565,1006,2686,0,569,2662,2289,1658,385,74,385,318400,150100,0,621,1006,01,125,012404
"Census Tract 102.02, Tuscaloosa County, Alabama",785,3386,10903,0,2810,10887,8522,3666,562,39,562,451100,183300,0,2824,3386,01,125,010202
"Census Tract 105, Tuscaloosa County, Alabama",868,783,2214,5,474,2214,1801,1054,208,0,208,157600,67600,0,575,783,01,125,010500
"Census Tract 106.02, Tuscaloosa County, Alabama",746,3458,10477,22,2707,10477,8468,3943,378,54,378,322700,168100,68,3080,3458,01,125,010602
"Census Tract 107.02, Tuscaloosa County, Alabama",740,2501,7388,6,1844,7388,5810,3048,234,41,234,148700,123800,9,2267,2501,01,125,010702
"Census Tract 103.03, Tuscaloosa County, Alabama",1031,1135,3028,42,872,3028,2525,1295,170,0,170,128900,128500,0,965,1135,01,125,010303
"Census Tract 104.03, Tuscaloosa County, Alabama",669,1520,4033,0,1198,3501,3293,1643,614,48,614,446200,140200,31,906,1520,01,125,010403
"Census Tract 104.04, Tuscaloosa County, Alabama",788,934,2552,0,649,2552,1990,1181,524,67,524,368700,116400,0,410,934,01,125,010404
"Census Tract 120, Tuscaloosa County, Alabama",927,1163,2913,0,897,2913,2812,2703,954,93,954,716700,198900,0,209,1163,01,125,012000
"Census Tract 123.04, Tuscaloosa County, Alabama",807,1481,3805,0,1108,3793,3010,2018,1236,150,1236,970700,159000,0,245,1481,01,125,012304
"Census Tract 128, Tuscaloosa County, Alabama",947,814,2466,47,543,2466,1984,891,392,12,392,335700,94900,0,422,814,01,125,012800
"Census Tract 112, Tuscaloosa County, Alabama",507,324,7307,0,80,7307,7307,461,278,28,278,296800,292900,0,46,324,01,125,011200
"Census Tract 126, Tuscaloosa County, Alabama",729,657,1702,15,542,1586,1627,1531,526,65,526,402400,416100,0,131,657,01,125,012600
"Census Tract 125.02, Tuscaloosa County, Alabama",899,2202,6964,0,1949,6964,5199,2481,682,71,682,668200,194800,75,1520,2202,01,125,012502
"Census Tract 123.03, Tuscaloosa County, Alabama",785,3180,7453,43,2253,7419,5982,3385,1685,45,1685,1298000,144600,0,1495,3180,01,125,012303
"Census Tract 125.01, Tuscaloosa County, Alabama",911,565,1681,0,385,1681,1459,734,108,20,108,99900,105500,21,457,565,01,125,012501
"Census Tract 101.03, Tuscaloosa County, Alabama",646,1954,5888,17,1321,5888,4868,2477,334,42,334,247100,140000,56,1620,1954,01,125,010103
"Census Tract 104.05, Tuscaloosa County, Alabama",1527,1454,4178,21,1151,4178,2869,1702,308,30,308,490300,345600,0,1146,1454,01,125,010405
"Census Tract 124.03, Tuscaloosa County, Alabama",871,1278,3096,0,1020,3096,2655,1522,714,65,714,679800,172500,39,564,1278,01,125,012403
"Census Tract 108.03, Tuscaloosa County, Alabama",796,1085,3035,0,789,3035,2219,1275,722,57,722,506700,118300,0,363,1085,01,125,010803
"Census Tract 116, Tuscaloosa County, Alabama",908,1223,3521,0,793,2955,3136,1547,770,47,770,613900,154500,0,453,1223,01,125,011600
"Census Tract 117.01, Tuscaloosa County, Alabama",806,801,2794,0,450,2794,2299,903,305,16,305,209900,82700,0,496,801,01,125,011701
"Census Tract 117.03, Tuscaloosa County, Alabama",648,1660,4461,36,1079,4461,3217,1828,950,54,950,497300,89300,0,710,1660,01,125,011703
"Census Tract 121, Tuscaloosa County, Alabama",907,2378,5931,0,2157,5907,5427,3453,1467,84,1467,1405300,145700,42,911,2378,01,125,012100
"Census Tract 102.03, Tuscaloosa County, Alabama",774,982,2859,44,630,2859,2229,1128,209,0,209,102000,219500,20,773,982,01,125,010203
"Census Tract 127, Tuscaloosa County, Alabama",783,1677,5091,0,1357,5077,4193,2059,572,25,572,492700,132300,24,1105,1677,01,125,012700
"Census Tract 118, Tuscaloosa County, Alabama",800,1180,3566,37,685,3566,2863,1419,604,19,604,396300,73200,0,576,1180,01,125,011800
"Census Tract 107.03, Tuscaloosa County, Alabama",843,990,2762,0,858,2758,2038,1168,230,9,230,184000,131500,9,760,990,01,125,010703
"Census Tract 9591, Clay County, Alabama",508,1073,2765,0,727,2765,2294,1273,192,0,192,63600,87000,0,881,1073,01,027,959100
"Census Tract 9592, Clay County, Alabama",593,851,2290,0,564,2290,1828,1172,89,0,89,20500,51500,23,762,851,01,027,959200
"Census Tract 9589, Clay County, Alabama",526,2028,5101,0,1283,4988,4067,2690,503,40,503,237800,110600,28,1525,2028,01,027,958900
"Census Tract 9590, Clay County, Alabama",374,1386,3251,0,816,3110,2689,1662,472,31,472,164000,83100,53,914,1386,01,027,959000
"Census Tract 113, Coffee County, Alabama",599,1755,4521,0,1079,4239,3361,2067,1154,31,1154,679400,139100,45,601,1755,01,031,011300
"Census Tract 107, Coffee County, Alabama",738,869,2299,0,614,2299,1941,1049,114,7,114,24200,96300,5,755,869,01,031,010700
"Census Tract 111, Coffee County, Alabama",684,807,2095,0,530,2072,1735,969,254,74,254,175500,135600,32,553,807,01,031,011100
"Census Tract 112.02, Coffee County, Alabama",927,3342,8498,0,2911,8045,6258,4103,2014,349,2014,1870900,134500,82,1328,3342,01,031,011202
"Census Tract 102, Coffee County, Alabama",580,714,1749,0,462,1749,1453,848,165,6,165,62700,104100,28,549,714,01,031,010200
"Census Tract 105, Coffee County, Alabama",568,1589,4547,0,1020,4222,3658,1930,609,22,609,287500,105500,27,980,1589,01,031,010500
"Census Tract 108, Coffee County, Alabama",806,1143,2914,0,808,2878,2385,1303,167,2,167,77600,190800,26,976,1143,01,031,010800
"Census Tract 109, Coffee County, Alabama",635,847,2219,0,566,2202,1821,1021,336,27,336,233300,141100,13,511,847,01,031,010900
"Census Tract 106, Coffee County, Alabama",581,589,1510,3,369,1504,1258,713,137,0,137,51500,92700,8,452,589,01,031,010600
"Census Tract 110, Coffee County, Alabama",576,1277,3153,0,959,3073,2385,1581,350,69,350,219200,126500,22,927,1277,01,031,011000
"Census Tract 104, Coffee County, Alabama",635,773,1812,0,533,1812,1540,952,224,15,224,102000,76600,25,549,773,01,031,010400
"Census Tract 112.01, Coffee County, Alabama",1222,3267,8602,0,2498,8270,6856,3467,725,148,725,894100,213100,52,2542,3267,01,031,011201
"Census Tract 101, Coffee County, Alabama",624,809,2242,0,521,2238,1765,967,181,5,181,71900,92900,17,628,809,01,031,010100
"Census Tract 103, Coffee County, Alabama",696,1839,4912,0,1304,4822,4000,2068,368,2,368,257400,152400,26,1471,1839,01,031,010300
"Census Tract 3, Morgan County, Alabama",654,1305,2894,0,972,2894,2377,1381,625,49,625,421500,120000,0,680,1305,01,103,000300
"Census Tract 54.04, Morgan County, Alabama",536,1951,5120,0,1435,5042,4125,2058,192,14,192,140700,166100,34,1759,1951,01,103,005404
"Census Tract 53.01, Morgan County, Alabama",618,3141,8274,0,2202,8274,6752,3402,332,58,332,153100,167200,0,2809,3141,01,103,005301
"Census Tract 8, Morgan County, Alabama",620,1282,2948,0,802,2948,2362,1382,429,22,429,282700,85600,78,853,1282,01,103,000800
"Census Tract 9, Morgan County, Alabama",577,1862,4921,43,1212,4798,3510,2296,1000,240,1000,706800,83900,65,862,1862,01,103,000900
"Census Tract 1, Morgan County, Alabama",659,1604,4044,0,1107,3857,3163,1923,702,25,702,419400,82300,25,902,1604,01,103,000100
"Census Tract 6, Morgan County, Alabama",504,935,3087,4,489,2498,2444,1212,617,46,617,281100,52200,84,318,935,01,103,000600
"Census Tract 53.04, Morgan County, Alabama",843,2078,5849,0,1551,5849,4259,2355,380,0,380,333800,141600,31,1698,2078,01,103,005304
"Census Tract 7, Morgan County, Alabama",793,1309,4037,0,906,4037,3132,1521,515,83,515,343800,74100,41,794,1309,01,103,000700
"Census Tract 56, Morgan County, Alabama",540,2360,5793,0,1482,5793,4658,2524,373,10,373,123800,102200,0,1987,2360,01,103,005600
"Census Tract 51.01, Morgan County, Alabama",684,1950,5542,0,1576,5532,4272,2056,404,14,404,287600,160100,14,1546,1950,01,103,005101
"Census Tract 51.03, Morgan County, Alabama",584,405,990,0,285,990,866,448,142,17,142,71100,123600,0,263,405,01,103,005103
"Census Tract 53.03, Morgan County, Alabama",582,1629,3735,0,998,3735,3019,1875,773,148,773,477000,101900,59,856,1629,01,103,005303
"Census Tract 54.05, Morgan County, Alabama",662,1890,4519,0,1304,4519,3763,2296,383,23,383,172500,117800,7,1507,1890,01,103,005405
"Census Tract 4, Morgan County, Alabama",519,1630,3978,0,1120,3429,3493,1919,676,25,676,455900,108900,44,954,1630,01,103,000400
"Census Tract 51.05, Morgan County, Alabama",713,890,2430,0,568,2430,1947,948,84,0,84,41400,189600,17,806,890,01,103,005105
"Census Tract 52, Morgan County, Alabama",658,2349,6389,0,1704,6379,5099,2599,297,0,297,164500,128200,32,2052,2349,01,103,005200
"Census Tract 2, Morgan County, Alabama",862,1439,3580,0,1060,3580,2823,1526,101,52,101,78900,173600,25,1338,1439,01,103,000200
"Census Tract 10, Morgan County, Alabama",853,1183,3323,0,830,3323,2584,1347,330,19,330,266400,106500,39,853,1183,01,103,001000
"Census Tract 53.02, Morgan County, Alabama",644,1370,3794,0,1015,3785,3102,1506,194,0,194,142400,143200,58,1176,1370,01,103,005302
"Census Tract 55, Morgan County, Alabama",688,1878,5801,0,1309,5481,4430,2332,328,29,328,220900,98000,130,1550,1878,01,103,005500
"Census Tract 9798, Lawrence County, Alabama",854,1270,3328,0,839,3328,2767,1448,177,0,177,98400,154900,31,1093,1270,01,079,979800
"Census Tract 9791, Lawrence County, Alabama",617,730,1836,0,507,1836,1638,890,114,0,114,62200,104500,43,616,730,01,079,979100
"Census Tract 9799, Lawrence County, Alabama",710,736,2053,0,474,2053,1654,886,114,0,114,63900,98300,0,622,736,01,079,979900
"Census Tract 9797, Lawrence County, Alabama",751,739,1785,15,468,1785,1518,930,138,0,138,73400,87800,29,601,739,01,079,979700
"Census Tract 9792, Lawrence County, Alabama",469,1765,4177,0,1028,4177,3252,2349,529,43,529,180100,85200,63,1236,1765,01,079,979200
"Census Tract 9795, Lawrence County, Alabama",498,2166,5848,0,1334,5848,4630,2491,321,0,321,111100,89400,49,1845,2166,01,079,979500
"Census Tract 9793, Lawrence County, Alabama",631,1923,5000,0,1333,5000,3869,2062,277,0,277,154200,96200,25,1646,1923,01,079,979300
"Census Tract 9796, Lawrence County, Alabama",509,1921,4883,0,1369,4872,3890,2232,266,0,266,111600,103600,0,1655,1921,01,079,979600
"Census Tract 9794, Lawrence County, Alabama",492,1806,4378,0,1077,4151,3628,2059,677,12,677,278300,99500,41,1129,1806,01,079,979400
"Census Tract 403, Lee County, Alabama",570,1118,2300,13,824,2294,2116,1441,697,172,697,451100,209600,0,421,1118,01,081,040300
"Census Tract 405, Lee County, Alabama",1031,3534,9282,0,2733,9255,6962,3781,1004,31,1004,1098500,334700,72,2530,3534,01,081,040500
"Census Tract 412, Lee County, Alabama",783,1948,4811,0,1447,4811,3995,2085,303,49,303,248400,177400,27,1645,1948,01,081,041200
"Census Tract 418, Lee County, Alabama",752,2736,8150,0,1949,8150,5991,3218,747,1,747,507600,137800,0,1989,2736,01,081,041800
"Census Tract 402, Lee County, Alabama",825,2615,5644,85,2107,5625,4861,3228,1877,156,1877,1550200,199700,37,738,2615,01,081,040200
"Census Tract 413, Lee County, Alabama",659,1504,3667,14,1126,3494,2853,1531,679,27,679,397800,182600,0,825,1504,01,081,041300
"Census Tract 603, Chilton County, Alabama",495,1436,3658,0,954,3641,2810,1998,202,30,202,80800,87700,0,1234,1436,01,021,060300
"Census Tract 604.02, Chilton County, Alabama",781,3272,8885,0,2432,8885,6664,3626,897,103,897,631900,92700,137,2375,3272,01,021,060402
"Census Tract 604.01, Chilton County, Alabama",680,2035,5599,18,1519,5599,4524,2328,509,66,509,290000,112400,18,1526,2035,01,021,060401
"Census Tract 602, Chilton County, Alabama",687,1093,2748,0,659,2748,2263,1327,197,27,197,111700,136600,15,896,1093,01,021,060200
"Census Tract 605, Chilton County, Alabama",654,1169,3043,0,723,3043,2536,1390,226,75,226,94400,87000,7,943,1169,01,021,060500
"Census Tract 601.01, Chilton County, Alabama",723,1805,4381,0,1299,4203,3619,2130,594,146,594,352100,98800,85,1211,1805,01,021,060101
"Census Tract 601.02, Chilton County, Alabama",565,2672,7123,0,1685,6986,5366,2916,847,0,847,395800,116900,70,1825,2672,01,021,060102
"Census Tract 606, Chilton County, Alabama",753,1239,3531,0,942,3531,2723,1428,150,0,150,83500,85900,25,1089,1239,01,021,060600
"Census Tract 205, Colbert County, Alabama",629,2007,5828,0,1467,5670,4487,2213,563,38,563,284500,117300,15,1444,2007,01,033,020500
"Census Tract 607, Chilton County, Alabama",547,2047,4837,0,1405,4837,4004,2375,521,0,521,293000,81700,36,1526,2047,01,021,060700
"Census Tract 201, Colbert County, Alabama",591,1516,3480,0,950,3472,2901,1863,624,77,624,368400,78800,102,892,1516,01,033,020100
"Census Tract 204, Colbert County, Alabama",918,649,1590,0,439,1590,1302,667,75,0,75,60900,130400,4,574,649,01,033,020400
"Census Tract 206, Colbert County, Alabama",649,1682,3888,0,1073,3793,3056,2114,699,152,699,433800,109600,35,983,1682,01,033,020600
"Census Tract 207.01, Colbert County, Alabama",764,2445,6247,0,1842,6201,5072,2710,441,43,441,294100,171900,85,2004,2445,01,033,020701
"Census Tract 203, Colbert County, Alabama",548,952,1840,0,491,1840,1440,1164,523,70,523,254600,54600,16,429,952,01,033,020300
"Census Tract 208.02, Colbert County, Alabama",425,1450,3724,0,889,3724,3035,1812,351,65,351,127900,91600,37,1099,1450,01,033,020802
"Census Tract 202, Colbert County, Alabama",734,890,2053,0,483,2019,1720,1182,444,136,444,380200,79400,16,446,890,01,033,020200
"Census Tract 208.01, Colbert County, Alabama",499,1746,4485,0,1272,4485,3933,2208,257,64,257,118900,157100,84,1489,1746,01,033,020801
"Census Tract 210, Colbert County, Alabama",661,1637,3882,11,938,3881,3099,2256,359,59,359,220700,88000,85,1278,1637,01,033,021000
"Census Tract 103.02, Madison County, Alabama",926,1573,4079,0,1063,4079,3163,1730,151,0,151,69600,123500,31,1422,1573,01,089,010302
"Census Tract 109.01, Madison County, Alabama",1119,5442,14881,0,4118,14837,10807,5673,375,61,375,460500,288500,84,5067,5442,01,089,010901
"Census Tract 5.03, Madison County, Alabama",993,763,1821,0,567,1821,1550,795,188,17,188,167800,86400,5,575,763,01,089,000503
"Census Tract 19.02, Madison County, Alabama",605,619,1238,0,272,1238,1050,683,203,17,203,302800,420300,31,416,619,01,089,001902
"Census Tract 6.01, Madison County, Alabama",846,571,1440,25,420,1440,1262,668,147,10,147,127900,90000,0,424,571,01,089,000601
"Census Tract 28.01, Madison County, Alabama",814,2239,4253,0,1477,4193,3607,2670,1271,174,1271,1068900,150500,0,968,2239,01,089,002801
"Census Tract 29.21, Madison County, Alabama",861,2760,6406,0,1982,6365,5008,2971,966,47,966,775700,143500,84,1794,2760,01,089,002921
"Census Tract 19.01, Madison County, Alabama",1353,1403,3710,0,977,3660,2900,1521,152,0,152,189400,351800,86,1251,1403,01,089,001901
"Census Tract 27.01, Madison County, Alabama",834,1335,2742,0,962,2742,2254,1395,328,24,328,265900,212000,28,1007,1335,01,089,002701
"Census Tract 29.22, Madison County, Alabama",1134,1703,3866,0,1296,3866,3286,1788,88,0,88,111500,190300,35,1615,1703,01,089,002922
"Census Tract 106.12, Madison County, Alabama",975,2328,5711,0,1972,5561,4570,2496,944,70,944,969300,178700,0,1384,2328,01,089,010612
"Census Tract 21, Madison County, Alabama",654,1459,3441,83,905,3441,2317,1791,1128,52,1128,623300,51100,47,331,1459,01,089,002100
"Census Tract 102, Madison County, Alabama",829,2246,5817,0,1836,5817,4608,2427,236,21,236,160600,165900,95,2010,2246,01,089,010200
"Census Tract 104.01, Madison County, Alabama",889,2353,5936,0,2020,5936,4809,2525,458,85,458,484100,100400,0,1895,2353,01,089,010401
"Census Tract 104.02, Madison County, Alabama",801,2355,6179,0,1925,6179,4930,2746,488,44,488,331900,123700,121,1867,2355,01,089,010402
"Census Tract 107.02, Madison County, Alabama",1054,3208,8622,46,2400,8622,6836,3317,364,0,364,231700,155700,41,2844,3208,01,089,010702
"Census Tract 110.14, Madison County, Alabama",850,3361,8992,0,2941,8992,6865,3524,815,0,815,843300,247500,78,2546,3361,01,089,011014
"Census Tract 5.02, Madison County, Alabama",903,942,2446,0,714,2446,1898,1029,320,29,320,258900,82900,30,622,942,01,089,000502
"Census Tract 7.02, Madison County, Alabama",532,1175,2493,0,605,2440,2148,1438,721,111,721,534600,94400,20,454,1175,01,089,000702
"Census Tract 12, Madison County, Alabama",428,1200,2751,5,678,2751,1860,1427,955,24,955,433500,58300,26,245,1200,01,089,001200
"Census Tract 6.02, Madison County, Alabama",924,878,2328,6,658,2328,1837,922,244,0,244,210600,81300,21,634,878,01,089,000602
"Census Tract 28.02, Madison County, Alabama",1064,3026,6982,16,2400,6967,5606,3077,595,0,595,548300,167700,0,2431,3026,01,089,002802
"Census Tract 110.13, Madison County, Alabama",1111,1883,5260,0,1626,5246,4164,1994,557,50,557,619500,187200,52,1326,1883,01,089,011013
"Census Tract 20, Madison County, Alabama",946,1029,2128,0,757,2128,1752,1196,239,0,239,227800,188000,0,790,1029,01,089,002000
"Census Tract 18.01, Madison County, Alabama",861,1524,4210,0,1174,4210,3286,1617,163,25,163,161100,298100,9,1361,1524,01,089,001801
"Census Tract 7.01, Madison County, Alabama",621,1145,2695,0,778,2695,2157,1403,563,21,563,343200,84200,25,582,1145,01,089,000701
"Census Tract 202, Autauga County, Alabama",735,783,2172,0,549,1970,1695,878,298,38,298,211100,96100,17,485,783,01,001,020200
"Census Tract 109.02, Madison County, Alabama",664,1216,3189,6,899,3175,2554,1443,302,35,302,98000,122000,7,914,1216,01,089,010902
"Census Tract 29.11, Madison County, Alabama",1087,1775,4335,0,1284,4335,3561,1854,144,0,144,119100,165000,0,1631,1775,01,089,002911
"Census Tract 210, Autauga County, Alabama",666,1028,2796,14,698,2796,2232,1335,232,5,232,63500,96700,34,796,1028,01,001,021000
"Census Tract 203, Autauga County, Alabama",882,1279,3385,0,867,3373,2672,1443,430,29,430,354600,98900,18,849,1279,01,001,020300
"Census Tract 209, Autauga County, Alabama",734,2215,6167,0,1657,6167,4895,2400,371,0,371,211100,120200,0,1844,2215,01,001,020900
"Census Tract 201, Autauga County, Alabama",780,754,1845,0,568,1845,1483,765,187,0,187,113200,152500,0,567,754,01,001,020100
"Census Tract 205, Autauga County, Alabama",1194,4194,9965,0,3378,9511,7752,4440,1981,150,1981,2845300,187900,0,2213,4194,01,001,020500
"Census Tract 204, Autauga County, Alabama",924,1749,4267,0,1243,4236,3354,1940,356,38,356,331700,140800,11,1393,1749,01,001,020400
"Census Tract 206, Autauga County, Alabama",746,1306,3620,0,888,3602,2855,1427,298,0,298,255600,93300,22,1008,1306,01,001,020600
"Census Tract 207, Autauga County, Alabama",776,1314,3420,0,972,3420,2621,1374,489,33,489,369900,90800,0,825,1314,01,001,020700
"Census Tract 211, Autauga County, Alabama",531,1303,3153,0,788,3153,2554,1650,201,6,201,106900,86800,21,1102,1303,01,001,021100
"Census Tract 503, Geneva County, Alabama",544,2227,5534,0,1401,5355,4297,2521,783,0,783,393100,94500,91,1444,2227,01,061,050300
"Census Tract 504, Geneva County, Alabama",576,2216,5643,0,1336,5545,4551,2758,580,52,580,265600,107400,74,1636,2216,01,061,050400
"Census Tract 501, Geneva County, Alabama",534,1959,4715,0,1124,4709,3833,2461,601,33,601,246900,67200,17,1358,1959,01,061,050100
"Census Tract 505, Geneva County, Alabama",673,1653,4309,4,1039,4309,3556,2034,378,66,378,227700,72700,46,1275,1653,01,061,050500
"Census Tract 502, Geneva County, Alabama",734,997,2388,0,731,2310,1907,1200,177,0,177,70800,118600,8,820,997,01,061,050200
"Census Tract 506, Geneva County, Alabama",597,1641,3983,0,1047,3983,3304,1782,301,35,301,192800,89600,14,1340,1641,01,061,050600
"Census Tract 9612, Coosa County, Alabama",295,1457,3429,0,792,3346,3111,2561,171,16,171,43900,102200,96,1286,1457,01,037,961200
"Census Tract 9611, Coosa County, Alabama",711,1348,3581,0,728,3581,2967,1991,224,0,224,63400,78500,84,1124,1348,01,037,961100
"Census Tract 9610, Coosa County, Alabama",575,1399,3945,24,828,3636,3217,1975,432,64,432,185000,78000,12,967,1399,01,037,961000
"Census Tract 202, Dale County, Alabama",500,885,2186,0,584,2186,1879,1161,196,0,196,96600,82700,28,689,885,01,045,020200
"Census Tract 205, Dale County, Alabama",455,863,1954,0,544,1954,1585,1018,432,17,432,195400,119000,25,431,863,01,045,020500
"Census Tract 213, Dale County, Alabama",614,1616,4004,0,1202,4004,3212,1904,452,88,452,241600,135500,30,1164,1616,01,045,021300
"Census Tract 214, Dale County, Alabama",614,2175,5355,0,1498,5334,4148,2553,1071,125,1071,653700,80500,5,1104,2175,01,045,021400
"Census Tract 212, Dale County, Alabama",589,917,2569,0,569,2512,2088,1246,208,40,208,85900,106800,4,709,917,01,045,021200
"Census Tract 201, Dale County, Alabama",611,1422,3583,0,942,3583,2921,1855,193,53,193,62900,100500,17,1229,1422,01,045,020100
"Census Tract 204, Dale County, Alabama",535,914,2291,28,543,2146,1926,1053,85,20,85,50700,169600,58,829,914,01,045,020400
"Census Tract 203, Dale County, Alabama",655,882,2340,0,628,2340,1865,972,260,21,260,129400,123600,0,622,882,01,045,020300
"Census Tract 207, Dale County, Alabama",497,1306,3292,0,688,3225,2548,1736,790,92,790,387900,69900,102,516,1306,01,045,020700
"Census Tract 410, Lee County, Alabama",955,2912,7840,0,2345,7821,6024,3307,346,105,346,300300,186900,54,2566,2912,01,081,041000
"Census Tract 407, Lee County, Alabama",828,344,5533,22,291,5533,5497,495,324,76,324,298100,112500,0,20,344,01,081,040700
"Census Tract 404, Lee County, Alabama",908,2902,7274,44,2295,7274,6350,3447,1729,268,1729,1649300,236700,0,1173,2902,01,081,040400
"Census Tract 408, Lee County, Alabama",753,1564,2900,37,1135,2900,2885,2422,1376,391,1376,1106700,178400,0,188,1564,01,081,040800
"Census Tract 411, Lee County, Alabama",844,4429,10534,0,3416,9805,8761,4890,2611,147,2611,2180700,152100,55,1818,4429,01,081,041100
"Census Tract 420.02, Lee County, Alabama",966,3096,7478,0,2414,7443,5968,3185,1303,38,1303,1155200,198900,0,1793,3096,01,081,042002
"Census Tract 419, Lee County, Alabama",842,3098,8177,0,2090,8105,6634,3422,503,44,503,404400,174400,42,2595,3098,01,081,041900
"Census Tract 414, Lee County, Alabama",554,1467,3953,0,939,3953,2950,1702,794,68,794,389400,64000,0,673,1467,01,081,041400
"Census Tract 417, Lee County, Alabama",739,3604,9428,0,2859,9413,7493,4068,864,48,864,565700,115100,108,2740,3604,01,081,041700
"Census Tract 406.02, Lee County, Alabama",824,2203,6171,92,1770,6171,4219,2398,1115,77,1115,832600,190400,0,1088,2203,01,081,040602
"Census Tract 416, Lee County, Alabama",619,1502,3532,0,861,3532,2728,1767,974,117,974,601300,145500,21,528,1502,01,081,041600
"Census Tract 503, Pickens County, Alabama",410,1407,4539,0,848,3467,3808,1838,309,12,309,84800,59300,30,1098,1407,01,107,050300
"Census Tract 500, Pickens County, Alabama",520,1907,4951,57,1160,4951,3850,2150,560,3,560,242600,97200,9,1347,1907,01,107,050000
"Census Tract 502, Pickens County, Alabama",388,916,1981,0,481,1981,1742,1181,186,21,186,68800,85300,20,730,916,01,107,050200
"Census Tract 504, Pickens County, Alabama",496,1940,5056,0,1313,5009,4102,2584,498,33,498,221800,111100,31,1442,1940,01,107,050400
"Census Tract 501, Pickens County, Alabama",347,1450,3643,5,791,3579,3052,1785,452,23,452,134400,83800,0,998,1450,01,107,050100
